item_name,price,condition,warranty_months
book,183.0,1,21
book,351.0,3,2
book,368.0,4,24
book,186.0,3,0
book,219.0,5,19
book,231.0,4,14
book,273.0,1,17
book,261.0,1,14
book,312.0,1,14
book,345.0,1,7
book,372.0,4,6
book,389.0,2,23
book,470.0,3,16
book,136.0,1,24
book,237.0,2,6
book,141.0,3,11
book,183.0,2,9
book,371.0,3,3
book,321.0,1,4
book,89.0,5,20
book,328.0,3,4
book,277.0,5,19
book,481.0,4,18
book,362.0,1,24
book,272.0,5,23
book,230.0,4,16
book,119.0,5,3
book,128.0,1,16
book,537.0,3,10
book,127.0,3,17
book,409.0,2,5
book,484.0,4,18
book,178.0,5,15
book,328.0,3,5
book,346.0,2,17
book,412.0,1,6
book,50.0,3,12
book,440.0,4,14
book,333.0,1,7
book,160.0,3,21
bottle,211.0,2,6
bottle,151.0,1,20
bottle,158.0,2,22
bottle,202.0,1,1
bottle,273.0,2,11
bottle,79.0,4,13
bottle,125.0,3,15
bottle,136.0,5,3
bottle,345.0,2,12
bottle,144.0,3,4
bottle,130.0,3,7
bottle,243.0,5,21
bottle,246.0,5,10
bottle,184.0,3,12
bottle,280.0,2,24
bottle,223.0,4,10
bottle,68.0,5,5
bottle,220.0,1,2
bottle,67.0,1,10
bottle,100.0,1,18
bottle,253.0,4,10
bottle,69.0,4,9
bottle,189.0,1,21
bottle,283.0,1,15
bottle,161.0,1,3
bottle,322.0,5,16
bottle,153.0,3,11
bottle,236.0,1,16
bottle,217.0,5,15
bottle,207.0,5,11
bottle,170.0,3,13
bottle,104.0,5,13
bottle,65.0,5,3
bottle,237.0,3,3
bottle,129.0,1,8
bottle,113.0,5,23
bottle,106.0,5,16
bottle,115.0,4,4
bottle,276.0,1,24
bottle,191.0,1,18
bottle,213.0,3,15
bottle,206.0,2,10
bottle,100.0,3,1
bottle,101.0,3,6
bottle,218.0,5,4
bottle,50.0,2,9
bottle,190.0,5,23
bottle,253.0,1,13
bottle,179.0,1,10
bottle,173.0,3,14
bottle,242.0,1,10
bottle,224.0,3,9
bottle,120.0,2,19
bottle,291.0,2,11
bottle,85.0,2,3
bottle,277.0,4,24
bottle,168.0,4,7
bottle,160.0,5,9
bottle,200.0,5,19
bottle,305.0,3,1
bottle,351.0,3,21
bottle,109.0,2,20
bottle,182.0,1,7
bottle,176.0,4,8
cup,69.0,2,9
cup,98.0,5,4
cup,35.0,4,10
cup,229.0,2,22
cup,185.0,3,7
cup,65.0,1,17
cup,234.0,3,16
cup,271.0,3,2
cup,73.0,5,21
cup,123.0,4,18
cup,171.0,5,17
cup,224.0,4,18
cup,107.0,4,19
cup,132.0,4,23
cup,205.0,2,5
cup,119.0,5,3
cup,156.0,3,5
cup,100.0,2,20
cup,208.0,2,12
cup,284.0,4,23
cup,238.0,5,15
cup,172.0,2,19
cup,186.0,2,23
cup,182.0,3,13
cup,189.0,4,18
cup,189.0,2,9
cup,151.0,3,21
cup,174.0,1,10
cup,187.0,2,3
cup,210.0,2,13
cup,95.0,4,3
cup,183.0,1,19
cup,158.0,3,11
cup,232.0,4,16
cup,118.0,4,7
cup,105.0,1,14
cup,121.0,2,22
cup,149.0,2,12
cup,138.0,5,10
cup,30.0,2,5
cup,213.0,4,9
cup,58.0,5,5
cup,228.0,1,6
cup,30.0,2,3
cup,235.0,1,21
cup,150.0,2,16
cup,172.0,4,18
cup,227.0,5,13
cup,119.0,4,20
cup,164.0,5,24
cup,248.0,4,3
cup,179.0,1,8
cup,133.0,1,2
cup,146.0,1,21
cup,201.0,2,5
cup,97.0,2,1
cup,131.0,3,9
cup,242.0,1,20
cup,103.0,4,3
cup,199.0,3,3
cup,159.0,3,6
cup,245.0,3,0
cup,195.0,1,13
cup,232.0,2,6
cup,30.0,1,17
cup,115.0,1,9
cup,140.0,2,21
cup,161.0,2,10
cup,209.0,3,13
cup,171.0,2,23
cup,209.0,2,5
cup,138.0,3,2
cup,125.0,1,2
cup,163.0,5,7
cup,73.0,3,21
cup,192.0,3,1
keyboard,1065.0,5,4
keyboard,3076.0,2,22
keyboard,2322.0,3,18
keyboard,500.0,1,24
keyboard,1839.0,4,2
keyboard,3929.0,1,2
keyboard,2987.0,3,23
keyboard,1750.0,2,5
keyboard,4506.0,5,2
keyboard,1805.0,2,24
keyboard,3903.0,5,13
keyboard,3085.0,5,1
keyboard,2387.0,5,11
keyboard,616.0,5,11
keyboard,3101.0,5,6
keyboard,2228.0,5,20
keyboard,1382.0,2,6
keyboard,2144.0,1,1
keyboard,3020.0,2,1
keyboard,4016.0,1,11
keyboard,3832.0,2,24
keyboard,4109.0,2,16
keyboard,1478.0,1,15
keyboard,2714.0,5,2
keyboard,3528.0,4,19
keyboard,2055.0,4,9
keyboard,2341.0,1,22
keyboard,3347.0,5,6
keyboard,3834.0,4,23
keyboard,3103.0,4,14
keyboard,3432.0,5,24
keyboard,1920.0,4,16
keyboard,3040.0,3,10
keyboard,4554.0,2,22
keyboard,3260.0,1,2
keyboard,3003.0,1,15
keyboard,1423.0,2,11
keyboard,2156.0,2,11
keyboard,1017.0,3,4
keyboard,2143.0,2,2
keyboard,3481.0,3,5
keyboard,2894.0,3,8
keyboard,3425.0,5,17
keyboard,1332.0,4,22
keyboard,2391.0,3,3
keyboard,1206.0,3,22
keyboard,4086.0,1,9
keyboard,2734.0,4,14
keyboard,3417.0,3,5
keyboard,2220.0,5,3
keyboard,1822.0,3,2
keyboard,2352.0,2,19
keyboard,1620.0,2,1
keyboard,500.0,4,17
keyboard,3914.0,3,14
keyboard,3178.0,4,16
keyboard,3800.0,2,5
keyboard,1835.0,4,13
keyboard,1745.0,3,3
keyboard,3133.0,5,17
keyboard,2369.0,5,23
keyboard,1961.0,4,21
keyboard,2760.0,3,21
keyboard,3213.0,5,8
keyboard,2720.0,2,2
keyboard,1845.0,4,14
keyboard,3154.0,5,19
keyboard,2002.0,5,5
keyboard,750.0,2,17
keyboard,3910.0,3,23
keyboard,3439.0,1,13
keyboard,3088.0,3,23
keyboard,3414.0,2,3
keyboard,1414.0,3,0
keyboard,3858.0,3,0
keyboard,2160.0,2,22
keyboard,2310.0,2,18
keyboard,3083.0,4,5
keyboard,1531.0,4,8
keyboard,2345.0,5,7
keyboard,1770.0,3,4
keyboard,2132.0,4,9
keyboard,1420.0,2,20
keyboard,2456.0,5,7
keyboard,3883.0,1,8
keyboard,879.0,2,15
keyboard,2317.0,2,15
keyboard,3484.0,1,16
keyboard,2799.0,1,2
keyboard,1468.0,4,20
mouse,742.0,5,16
mouse,555.0,1,1
mouse,828.0,5,21
mouse,901.0,5,15
mouse,1123.0,3,4
mouse,310.0,1,8
mouse,388.0,1,9
mouse,357.0,5,13
mouse,1205.0,2,21
mouse,217.0,1,17
mouse,787.0,3,9
mouse,824.0,5,11
mouse,1021.0,1,22
mouse,791.0,5,15
mouse,763.0,5,5
mouse,441.0,2,18
mouse,701.0,2,1
mouse,953.0,4,5
mouse,995.0,5,5
mouse,888.0,5,21
mouse,1105.0,3,1
mouse,1012.0,1,11
mouse,490.0,2,7
mouse,893.0,2,18
mouse,958.0,4,24
mouse,869.0,1,22
mouse,688.0,2,10
mouse,960.0,5,9
mouse,975.0,5,16
mouse,460.0,5,7
mouse,707.0,3,17
mouse,828.0,5,1
mouse,1285.0,4,10
mouse,883.0,1,24
mouse,642.0,5,18
mouse,1014.0,2,4
mouse,791.0,2,24
mouse,834.0,4,10
mouse,828.0,2,22
mouse,1554.0,1,21
mouse,602.0,5,21
mouse,1177.0,1,15
mouse,397.0,1,12
mouse,858.0,4,5
mouse,563.0,1,20
mouse,298.0,2,9
mouse,603.0,4,6
mouse,697.0,1,12
mouse,614.0,4,17
mouse,845.0,5,9
mouse,295.0,3,5
mouse,1211.0,4,10
mouse,991.0,4,6
mouse,716.0,2,9
mouse,1121.0,3,11
mouse,824.0,1,24
mouse,484.0,3,14
mouse,981.0,2,4
mouse,1680.0,2,12
mouse,728.0,4,22
mouse,880.0,4,4
mouse,778.0,5,2
mouse,200.0,2,10
mouse,419.0,4,20
mouse,1409.0,4,7
mouse,523.0,5,12
mouse,946.0,5,9
mouse,930.0,2,20
mouse,1094.0,4,21
mouse,690.0,4,9
mouse,269.0,4,15
mouse,480.0,4,4
mouse,571.0,3,12
mouse,264.0,4,5
mouse,563.0,1,18
mouse,536.0,5,0
chair,5324.0,3,19
chair,2349.0,2,15
chair,4020.0,3,6
chair,3645.0,3,12
chair,5484.0,3,9
chair,3985.0,2,5
chair,4572.0,3,14
chair,850.0,4,20
chair,6081.0,1,20
chair,2036.0,3,1
chair,2473.0,1,18
chair,4876.0,2,23
chair,4406.0,2,9
chair,2202.0,4,23
chair,2274.0,3,13
chair,3781.0,4,2
chair,1391.0,5,20
chair,4303.0,3,11
chair,5201.0,3,5
chair,4007.0,2,24
chair,4216.0,5,8
chair,5716.0,1,21
chair,3911.0,2,20
chair,5020.0,3,5
chair,4904.0,1,23
chair,4712.0,2,11
chair,5684.0,5,11
chair,3439.0,1,7
chair,3490.0,1,16
chair,4016.0,4,19
chair,1344.0,4,12
chair,5976.0,5,0
chair,3771.0,1,3
chair,863.0,5,16
chair,2927.0,1,10
chair,4180.0,1,15
chair,500.0,3,12
chair,3599.0,2,3
chair,2016.0,4,6
chair,6513.0,4,4
chair,4607.0,1,9
chair,5420.0,1,17
chair,4348.0,4,2
chair,4325.0,2,17
chair,4051.0,1,17
chair,4033.0,3,11
chair,6267.0,5,17
chair,6726.0,3,12
chair,4915.0,2,10
chair,5940.0,3,0
chair,3964.0,4,22
chair,2301.0,5,1
chair,2253.0,1,19
chair,3753.0,3,20
chair,3282.0,1,8
chair,5883.0,5,0
chair,7194.0,2,20
chair,2465.0,5,23
chair,5349.0,5,6
chair,5926.0,1,19
chair,4221.0,2,23
chair,3078.0,2,1
chair,2495.0,3,6
chair,1825.0,3,12
chair,3339.0,4,1
chair,6995.0,1,17
chair,4923.0,3,23
chair,5248.0,3,21
chair,3966.0,5,22
chair,1252.0,1,0
chair,2248.0,4,22
chair,2816.0,2,19
chair,3453.0,2,9
chair,3228.0,3,3
chair,2331.0,5,14
chair,4598.0,3,20
chair,1870.0,3,16
chair,2664.0,2,21
chair,6422.0,5,24
chair,7260.0,1,2
chair,2209.0,3,23
chair,2675.0,4,23
chair,2583.0,2,10
chair,5910.0,5,14
chair,1451.0,4,17
chair,6547.0,5,10
chair,3237.0,4,2
chair,3466.0,4,18
chair,1345.0,1,23
chair,1374.0,3,10
chair,3179.0,3,9
chair,2300.0,1,2
tv,29088.0,4,9
tv,44240.0,1,7
tv,14243.0,2,15
tv,21445.0,5,2
tv,12876.0,3,0
tv,19378.0,4,4
tv,3963.0,3,14
tv,25233.0,5,8
tv,17617.0,4,16
tv,22174.0,5,17
tv,24777.0,3,12
tv,3000.0,1,1
tv,21589.0,3,6
tv,15752.0,1,12
tv,42263.0,2,19
tv,50234.0,3,0
tv,7388.0,5,4
tv,3000.0,5,22
tv,33217.0,1,17
tv,15035.0,1,0
tv,43283.0,2,16
tv,15515.0,3,4
tv,23372.0,1,19
tv,28207.0,3,0
tv,11233.0,4,1
tv,17847.0,3,5
tv,15075.0,2,6
tv,18329.0,1,3
tv,30495.0,1,19
tv,18010.0,4,13
tv,18895.0,2,15
tv,21575.0,2,22
tv,9156.0,4,19
tv,15624.0,1,7
tv,21284.0,5,22
tv,26381.0,3,4
tv,25846.0,2,9
tv,27919.0,3,0
tv,39213.0,1,13
tv,36379.0,1,3
tv,19824.0,5,3
tv,20463.0,4,5
tv,28103.0,1,17
tv,39473.0,2,16
tv,10404.0,5,17
tv,9527.0,4,7
tv,39192.0,3,22
tv,13559.0,1,19
tv,10213.0,3,12
tv,25655.0,2,2
tv,20007.0,1,7
tv,24953.0,3,24
tv,8732.0,5,22
tv,15850.0,1,20
tv,31537.0,4,0
tv,43098.0,4,17
tv,3000.0,4,15
tv,19610.0,5,6
tv,15696.0,5,5
tv,31616.0,2,3
tv,15063.0,3,14
tv,13620.0,5,17
tv,26505.0,5,16
tv,14199.0,4,6
tv,24734.0,1,2
tv,33523.0,4,6
tv,7375.0,2,1
tv,31165.0,5,9
tv,3000.0,5,0
tv,22698.0,1,15
tv,18288.0,3,19
tv,24389.0,5,13
tv,38995.0,3,20
tv,24016.0,1,1
tv,28516.0,4,16
tv,14143.0,5,13
tv,28519.0,2,17
tv,26694.0,5,17
tv,41971.0,3,24
